,portfolio_value,daily_return,daily_turnover
2020-02-03,99850.050138,0.0,
2020-02-04,107397.976885,0.075593,
2020-02-05,96161.317237,-0.104626,
2020-02-06,97715.284075,0.01616,
2020-02-07,97615.585778,-0.00102,
2020-02-10,99958.034871,0.023997,
2020-02-11,99941.954738,-0.000161,
2020-02-12,99579.380387,-0.003628,
2020-02-13,101391.609008,0.018199,
2020-02-14,101895.198745,0.004967,
2020-02-18,105689.826901,0.037241,
2020-02-19,110002.335616,0.040803,
2020-02-20,108399.421584,-0.014572,
2020-02-21,106891.590965,-0.01391,
2020-02-24,101129.022955,-0.05391,
2020-02-25,98526.489474,-0.025735,
2020-02-26,97724.453518,-0.00814,
2020-02-27,93347.899013,-0.044785,
2020-02-28,92916.24632,-0.004624,
2020-03-02,90919.632779,-0.021488,
2020-03-03,93553.394546,0.028968,
2020-03-04,93609.817507,0.000603,
2020-03-05,96059.497499,0.026169,
2020-03-06,97900.274188,0.019163,
2020-03-09,105211.275348,0.074678,
2020-03-10,99653.894714,-0.052821,
2020-03-11,103705.471418,0.040656,
2020-03-12,113460.783519,0.094067,
2020-03-13,103338.11007,-0.089217,
2020-03-16,116445.109119,0.126836,
2020-03-17,111219.266179,-0.044878,
2020-03-18,118557.742786,0.065982,
2020-03-19,112165.529031,-0.053916,
2020-03-20,115472.802666,0.029486,
2020-03-23,116998.19313,0.01321,
2020-03-24,103503.841346,-0.115338,
2020-03-25,101709.948995,-0.017332,
2020-03-26,97697.223601,-0.039453,
2020-03-27,101724.432022,0.041221,
2020-03-30,99622.735181,-0.020661,
2020-03-31,99180.60938,-0.004438,
2020-04-01,104022.306989,0.048817,
2020-04-02,102556.021568,-0.014096,
2020-04-03,103362.716815,0.007866,
2020-04-06,96176.555955,-0.069524,
2020-04-07,94551.9585,-0.016892,
2020-04-08,94531.638981,-0.000215,
2020-04-09,92164.671623,-0.025039,
2020-04-13,90547.841966,-0.017543,
2020-04-14,93617.482409,0.033901,
2020-04-15,93888.549055,0.002895,
2020-04-16,95889.573868,0.021313,
2020-04-17,96296.028195,0.004239,
2020-04-20,95040.670649,-0.013036,
2020-04-21,90594.59041,-0.046781,
2020-04-22,94434.65818,0.042387,
2020-04-23,94196.133615,-0.002526,
2020-04-24,95565.786774,0.01454,
2020-04-27,96979.028529,0.014788,
2020-04-28,94822.806349,-0.022234,
2020-04-29,98198.632025,0.035601,
2020-04-30,98043.972431,-0.001575,
2020-05-01,92657.305164,-0.054941,
2020-05-04,95583.008765,0.031576,
2020-05-05,96331.826102,0.007834,
2020-05-06,97072.99025,0.007694,
2020-05-07,97679.810979,0.006251,
2020-05-08,99922.715103,0.022962,
2020-05-11,100410.623689,0.004883,
2020-05-12,99163.644001,-0.012419,
2020-05-13,97861.386606,-0.013132,
2020-05-14,98457.573857,0.006092,
2020-05-15,99932.99552,0.014985,
2020-05-18,102499.89114,0.025686,
2020-05-19,103070.817591,0.00557,
2020-05-20,105913.46806,0.02758,
2020-05-21,105192.685635,-0.006805,
2020-05-22,106176.769453,0.009355,
2020-05-26,105190.866042,-0.009285,
2020-05-27,104286.123786,-0.008601,
2020-05-28,103290.713202,-0.009545,
2020-05-29,104297.458102,0.009747,
2020-06-01,105295.922023,0.009573,
2020-06-02,105295.556725,-3e-06,
2020-06-03,105731.701874,0.004142,
2020-06-04,104932.96707,-0.007554,
2020-06-05,107786.781426,0.027197,
2020-06-08,109632.32681,0.017122,
2020-06-09,109658.123767,0.000235,
2020-06-10,109848.946121,0.00174,
2020-06-11,103107.230071,-0.061373,
