strategy_name,parameters,final_value,avg_return,volatility,sharpe,latency_ns_avg,latency_ns_p95,rejections
momentum,{'window': 100},274689.31521,0.001738,0.01958,1.34477,23041.540237,12671.48,181
momentum_vol_targeted,{'window': 100},218077.436261,0.001314,0.015698,1.248749,10438.513354,8245.64,219
long_only_momentum,{'window': 10},238602.246802,0.001325,0.017694,1.117929,34086.182658,14568.942222,852
long_only_momentum,{'window': 50},193797.046791,0.001127,0.019353,0.859605,4853.930831,6233.644444,820
breakout,{'window': 100},141184.786243,0.000639,0.014803,0.599962,10717.556327,9154.45,77
long_only_momentum,{'window': 20},152534.241192,0.000773,0.019746,0.557677,18874.59855,13590.366667,842
momentum,{'window': 10},110218.140138,0.000375,0.022025,0.212983,10461.44135,10389.82,119
momentum,{'window': 50},104379.481942,0.000265,0.020036,0.147018,10849.249916,9155.915556,77
momentum,{'window': 20},99236.90866,0.000233,0.021968,0.111307,7692.27754,7549.32,128
momentum_vol_targeted,{'window': 50},104292.300327,0.000179,0.015431,0.102429,12937.728385,21510.32,83
momentum_vol_targeted,{'window': 20},98473.524377,0.000147,0.018317,0.058399,10584.792238,16481.03,112
vol_scaled_momentum,"{'window': 10, 'vol_window': 10}",95736.612646,0.000116,0.018594,0.031241,13928.288784,7584.1,129
vol_scaled_momentum,"{'window': 20, 'vol_window': 20}",94346.149752,9.8e-05,0.018699,0.01552,5383.886978,6454.02,112
vol_scaled_momentum,"{'window': 50, 'vol_window': 10}",94883.404937,6.9e-05,0.016783,-0.009481,17023.00292,5742.48,91
vol_scaled_momentum,"{'window': 10, 'vol_window': 20}",92183.237656,6.6e-05,0.018725,-0.011089,24697.889807,12643.42,130
vol_scaled_momentum,"{'window': 20, 'vol_window': 10}",92071.946267,6.3e-05,0.01861,-0.014129,24421.465922,6074.84,102
vol_scaled_momentum,"{'window': 50, 'vol_window': 20}",91998.779076,2.5e-05,0.016778,-0.050979,7100.068726,7197.52,78
momentum_vol_targeted,{'window': 10},88885.676741,1.1e-05,0.018416,-0.058914,11608.921421,15381.44,129
breakout,{'window': 20},89264.697549,1e-06,0.017547,-0.070782,30893.949051,22987.54,106
breakout,{'window': 50},88418.952765,-5.1e-05,0.015521,-0.133452,6651.33568,12869.271111,77
momentum,{'window': 5},50899.679929,-0.000679,0.020912,-0.575995,10552.190967,8095.095,130
momentum_vol_targeted,{'window': 5},43937.232649,-0.000946,0.017332,-0.938933,73712.63587,179160.87,119
mean_reversion,"{'window': 20, 'z_threshold': 2}",23891.8198,-0.001791,0.017474,-1.699476,33183.155699,51881.85,114
mean_reversion,"{'window': 20, 'z_threshold': 1}",23891.8198,-0.001791,0.017474,-1.699476,14467.386633,8084.22,114
mean_reversion,"{'window': 10, 'z_threshold': 2}",21248.03726,-0.001926,0.017291,-1.840801,13637.390619,23138.0,112
mean_reversion,"{'window': 10, 'z_threshold': 1}",21248.03726,-0.001926,0.017291,-1.840801,28990.731297,6944.76,112
mean_reversion,"{'window': 5, 'z_threshold': 1}",19726.163,-0.002016,0.016988,-1.958051,20498.891148,7005.855,117
mean_reversion,"{'window': 5, 'z_threshold': 2}",19726.163,-0.002016,0.016988,-1.958051,22033.740415,9276.06,117
